Client_ID,Type_Données,Niveau_Protection,Evénement_Sécurité,Statut_Protection,Date_Mise_à _Jour,Responsable_Sécurité
1,passwords,élevé,intrusion détectée,Annulé,1/24/2021,Bob
2,medical history,Faible,vulnérabilité identifiée,Terminé,2/27/2019,Alice
3,private photos,Très élevé,attaque en cours,En cours,1/31/2019,Bob
4,medical history,Très élevé,intrusion détectée,En attente,1/13/2019,Charlie
5,bank account details,Faible,intrusion détectée,Terminé,5/26/2019,Eve
6,financial records,élevé,attaque en cours,Terminé,2/2/2020,Bob
7,personal messages,Très élevé,vulnérabilité identifiée,En cours,7/25/2019,Charlie
8,personal messages,élevé,tentative d'accès non autorisée,En attente,8/17/2020,Charlie
9,personal messages,Faible,attaque en cours,En cours,4/25/2020,Eve
10,bank account details,Faible,tentative d'accès non autorisée,En cours,8/1/2019,Charlie
11,personal messages,Faible,attaque en cours,En cours,9/24/2020,Bob
12,bank account details,Faible,attaque en cours,En cours,5/19/2019,Alice
13,personal emails,élevé,attaque en cours,En cours,3/24/2019,David
14,financial records,Faible,vulnérabilité identifiée,En cours,8/7/2019,Alice
15,personal messages,Très élevé,vulnérabilité identifiée,En attente,3/4/2019,Charlie
16,medical history,Très élevé,intrusion détectée,Terminé,2/5/2019,Eve
17,personal emails,Faible,vulnérabilité identifiée,Annulé,7/26/2020,Charlie
18,passwords,Moyen,intrusion détectée,Annulé,10/7/2020,Bob
19,personal emails,Faible,tentative d'accès non autorisée,En cours,2/21/2021,Charlie
20,personal emails,Très élevé,attaque en cours,Terminé,10/2/2019,Eve
21,confidential documents,élevé,attaque en cours,Annulé,12/9/2021,Bob
22,bank account details,élevé,vulnérabilité identifiée,Terminé,12/4/2019,David
23,bank account details,Faible,tentative d'accès non autorisée,En attente,12/3/2019,Alice
24,social security numbers,élevé,vulnérabilité identifiée,En cours,2/6/2020,Eve
25,financial records,élevé,attaque en cours,En attente,9/12/2021,David
26,confidential documents,Très élevé,vulnérabilité identifiée,En attente,10/9/2020,Charlie
27,private photos,Faible,attaque en cours,Terminé,8/28/2019,Eve
28,medical history,Moyen,intrusion détectée,Annulé,11/29/2020,Bob
29,confidential documents,Moyen,attaque en cours,Annulé,5/6/2021,Alice
30,confidential documents,Très élevé,attaque en cours,En cours,10/3/2020,Charlie
31,bank account details,Très élevé,intrusion détectée,En attente,1/27/2020,Bob
32,personal messages,Moyen,tentative d'accès non autorisée,Annulé,11/19/2021,Eve
33,financial records,élevé,tentative d'accès non autorisée,Terminé,7/17/2020,Eve
34,passwords,Moyen,vulnérabilité identifiée,En attente,7/24/2019,Bob
35,social security numbers,Faible,intrusion détectée,En cours,2/9/2020,Eve
36,passwords,Très élevé,attaque en cours,En attente,10/4/2019,Charlie
37,private photos,Très élevé,intrusion détectée,Terminé,8/11/2019,David
38,confidential documents,Faible,attaque en cours,En cours,2/1/2020,David
39,personal emails,Moyen,intrusion détectée,Terminé,3/2/2020,David
40,private photos,élevé,intrusion détectée,Annulé,5/17/2020,Bob
41,financial records,Faible,vulnérabilité identifiée,En cours,2/23/2020,Bob
42,personal emails,élevé,intrusion détectée,Annulé,11/30/2021,Bob
43,personal messages,élevé,tentative d'accès non autorisée,En attente,11/9/2019,Alice
44,private photos,Faible,tentative d'accès non autorisée,Annulé,6/5/2019,David
45,confidential documents,élevé,intrusion détectée,Annulé,10/10/2019,Charlie
46,financial records,Très élevé,attaque en cours,Annulé,12/17/2019,David
47,passwords,Très élevé,intrusion détectée,En attente,3/28/2019,Bob
48,confidential documents,Très élevé,vulnérabilité identifiée,En cours,2/24/2020,David
49,medical history,Faible,tentative d'accès non autorisée,Terminé,11/18/2021,Bob
50,social security numbers,Moyen,attaque en cours,En cours,12/20/2020,Alice
51,medical history,Très élevé,attaque en cours,Terminé,4/5/2020,Charlie
52,financial records,Faible,intrusion détectée,En attente,11/4/2020,Alice
53,financial records,Moyen,tentative d'accès non autorisée,En cours,3/26/2020,David
54,confidential documents,Faible,attaque en cours,Terminé,8/17/2021,Charlie
55,private photos,Moyen,attaque en cours,Annulé,4/8/2021,Eve
56,social security numbers,Moyen,intrusion détectée,Terminé,7/1/2020,Alice
57,financial records,élevé,intrusion détectée,En cours,4/12/2021,Alice
58,passwords,élevé,attaque en cours,Terminé,5/2/2019,David
59,financial records,Moyen,vulnérabilité identifiée,Terminé,4/20/2019,Alice
60,social security numbers,Très élevé,tentative d'accès non autorisée,En attente,2/4/2019,Alice
61,social security numbers,Faible,intrusion détectée,En cours,11/23/2019,Bob
62,passwords,Très élevé,attaque en cours,Annulé,4/29/2021,Alice
63,passwords,Moyen,tentative d'accès non autorisée,Terminé,2/20/2020,Alice
64,personal emails,élevé,intrusion détectée,Terminé,8/20/2021,Alice
65,credit card information,Faible,vulnérabilité identifiée,Terminé,8/9/2021,Alice
66,confidential documents,Moyen,intrusion détectée,En attente,6/28/2021,Eve
67,medical history,Faible,attaque en cours,Terminé,7/21/2021,Eve
68,passwords,Très élevé,vulnérabilité identifiée,Terminé,1/13/2021,Bob
69,bank account details,Faible,attaque en cours,Annulé,12/22/2020,Charlie
70,financial records,élevé,vulnérabilité identifiée,Annulé,10/12/2019,David
71,credit card information,élevé,vulnérabilité identifiée,En cours,11/11/2020,Eve
72,financial records,élevé,vulnérabilité identifiée,En cours,2/16/2019,Alice
73,passwords,élevé,attaque en cours,Terminé,7/21/2021,Charlie
74,credit card information,Moyen,attaque en cours,Terminé,11/17/2020,Charlie
75,confidential documents,Très élevé,tentative d'accès non autorisée,En attente,2/8/2021,David
76,medical history,Moyen,attaque en cours,En cours,3/6/2020,Bob
77,confidential documents,Faible,intrusion détectée,Terminé,7/24/2019,David
78,confidential documents,Moyen,intrusion détectée,Terminé,4/24/2020,David
79,financial records,Faible,vulnérabilité identifiée,Terminé,7/29/2019,David
80,financial records,Moyen,attaque en cours,En cours,5/22/2020,Charlie
81,social security numbers,Faible,tentative d'accès non autorisée,En cours,8/3/2020,Bob
82,confidential documents,Moyen,intrusion détectée,En attente,9/12/2019,Eve
83,confidential documents,Faible,vulnérabilité identifiée,En attente,6/25/2021,Eve
84,medical history,Faible,vulnérabilité identifiée,En attente,7/17/2019,Eve
85,personal emails,Faible,vulnérabilité identifiée,En attente,10/17/2019,David
86,personal emails,Moyen,tentative d'accès non autorisée,En cours,1/21/2019,Eve
87,personal messages,élevé,tentative d'accès non autorisée,En cours,2/19/2020,Alice
88,bank account details,Faible,intrusion détectée,En cours,12/22/2021,Bob
89,passwords,Faible,vulnérabilité identifiée,En cours,9/26/2020,Charlie
90,social security numbers,élevé,intrusion détectée,En cours,9/15/2019,Alice
91,credit card information,élevé,vulnérabilité identifiée,En attente,8/16/2019,David
92,financial records,élevé,tentative d'accès non autorisée,Annulé,10/8/2019,Eve
93,medical history,Très élevé,intrusion détectée,En cours,3/11/2019,Eve
94,personal emails,Moyen,intrusion détectée,En cours,5/30/2019,Eve
95,private photos,élevé,vulnérabilité identifiée,Annulé,3/11/2021,Charlie
96,financial records,Moyen,tentative d'accès non autorisée,En cours,4/20/2021,Eve
97,medical history,Moyen,attaque en cours,Terminé,2/11/2021,Bob
98,private photos,Très élevé,intrusion détectée,Annulé,10/28/2021,Eve
99,social security numbers,élevé,vulnérabilité identifiée,Terminé,12/16/2019,Eve
100,passwords,Moyen,intrusion détectée,En cours,7/10/2020,David
101,private photos,Faible,vulnérabilité identifiée,Terminé,5/11/2020,Alice
102,financial records,élevé,vulnérabilité identifiée,En attente,6/2/2019,David
103,social security numbers,Faible,intrusion détectée,En cours,7/17/2020,David
104,credit card information,Très élevé,vulnérabilité identifiée,En cours,10/2/2021,Alice
105,social security numbers,Faible,attaque en cours,En cours,3/27/2019,Alice
106,credit card information,élevé,attaque en cours,En cours,12/6/2019,Alice
107,private photos,Faible,attaque en cours,Annulé,8/16/2019,David
108,passwords,Faible,intrusion détectée,Annulé,11/3/2019,Eve
109,social security numbers,Moyen,tentative d'accès non autorisée,Annulé,1/12/2019,Eve
110,medical history,Très élevé,intrusion détectée,Annulé,12/28/2020,Eve
111,bank account details,Très élevé,intrusion détectée,En cours,2/22/2019,Charlie
112,personal messages,Faible,intrusion détectée,Annulé,8/11/2020,David
113,bank account details,Faible,tentative d'accès non autorisée,En attente,7/14/2021,Bob
114,bank account details,Faible,tentative d'accès non autorisée,Terminé,2/28/2019,Eve
115,personal messages,Très élevé,intrusion détectée,En attente,5/28/2021,Charlie
116,private photos,Moyen,vulnérabilité identifiée,Annulé,3/18/2020,Alice
117,social security numbers,élevé,attaque en cours,En cours,12/2/2021,Eve
118,private photos,élevé,intrusion détectée,En attente,12/29/2019,David
119,personal emails,Très élevé,vulnérabilité identifiée,En cours,3/31/2021,David
120,private photos,Faible,vulnérabilité identifiée,En cours,12/17/2019,Bob
121,credit card information,Faible,attaque en cours,En attente,1/21/2021,Alice
122,social security numbers,Moyen,intrusion détectée,En attente,8/5/2020,Charlie
123,bank account details,Moyen,attaque en cours,Annulé,5/26/2021,David
124,personal emails,Faible,tentative d'accès non autorisée,En cours,6/6/2021,Charlie
125,personal emails,élevé,intrusion détectée,Annulé,11/25/2020,Charlie
126,passwords,Moyen,intrusion détectée,En attente,12/25/2019,Bob
127,social security numbers,élevé,intrusion détectée,En cours,2/22/2021,Bob
128,confidential documents,Très élevé,intrusion détectée,Terminé,9/17/2019,Charlie
129,social security numbers,Moyen,vulnérabilité identifiée,En cours,7/30/2019,David
130,medical history,Très élevé,intrusion détectée,Terminé,7/8/2020,David
131,bank account details,Très élevé,tentative d'accès non autorisée,En attente,5/19/2021,Charlie
132,confidential documents,élevé,intrusion détectée,En cours,4/13/2020,David
133,confidential documents,Faible,intrusion détectée,Terminé,10/30/2020,Bob
134,personal messages,Très élevé,tentative d'accès non autorisée,En cours,12/17/2019,David
135,passwords,Très élevé,vulnérabilité identifiée,En attente,6/24/2020,Alice
136,personal messages,Moyen,vulnérabilité identifiée,En attente,6/11/2020,Eve
137,passwords,Très élevé,vulnérabilité identifiée,Terminé,7/29/2021,Charlie
138,credit card information,Faible,intrusion détectée,En attente,1/7/2019,David
139,social security numbers,élevé,vulnérabilité identifiée,En attente,4/2/2021,Bob
140,financial records,Moyen,tentative d'accès non autorisée,En attente,1/21/2019,Charlie
141,bank account details,Très élevé,intrusion détectée,En cours,8/16/2020,Charlie
142,financial records,Moyen,vulnérabilité identifiée,Terminé,5/30/2021,Eve
143,private photos,Moyen,intrusion détectée,Terminé,12/5/2019,Charlie
144,private photos,Faible,intrusion détectée,En attente,5/26/2020,Bob
145,financial records,Moyen,intrusion détectée,Annulé,6/27/2020,David
146,personal emails,Moyen,tentative d'accès non autorisée,En cours,1/25/2020,Bob
147,medical history,élevé,attaque en cours,Terminé,11/30/2020,Eve
148,passwords,Faible,attaque en cours,Terminé,12/29/2021,Charlie
149,credit card information,Très élevé,tentative d'accès non autorisée,Annulé,8/16/2021,Alice
150,personal messages,Moyen,vulnérabilité identifiée,Terminé,10/22/2020,David
151,credit card information,élevé,attaque en cours,Annulé,1/15/2019,Bob
152,private photos,Très élevé,intrusion détectée,En cours,7/22/2019,Charlie
153,passwords,élevé,tentative d'accès non autorisée,Annulé,2/11/2020,Bob
154,bank account details,Faible,attaque en cours,En cours,6/8/2020,Alice
155,bank account details,Faible,vulnérabilité identifiée,Annulé,2/12/2020,Eve
156,personal emails,Moyen,intrusion détectée,Terminé,5/22/2021,Bob
157,personal emails,Moyen,attaque en cours,En attente,2/27/2020,Charlie
158,passwords,Très élevé,vulnérabilité identifiée,Annulé,10/31/2020,Alice
159,passwords,Faible,tentative d'accès non autorisée,Terminé,9/8/2021,Bob
160,bank account details,Moyen,vulnérabilité identifiée,Annulé,2/11/2021,David
161,credit card information,élevé,intrusion détectée,En attente,2/14/2019,Charlie
162,medical history,Moyen,vulnérabilité identifiée,Terminé,12/4/2019,Charlie
163,personal emails,Très élevé,attaque en cours,Annulé,2/27/2020,Alice
164,passwords,élevé,attaque en cours,En cours,8/11/2020,David
165,personal emails,élevé,attaque en cours,Terminé,8/20/2021,Eve
166,social security numbers,élevé,vulnérabilité identifiée,Annulé,4/13/2019,Eve
167,financial records,Moyen,vulnérabilité identifiée,Annulé,2/3/2021,Charlie
168,personal emails,Très élevé,attaque en cours,En cours,11/5/2021,Alice
169,medical history,élevé,attaque en cours,Annulé,10/24/2021,Alice
170,medical history,élevé,attaque en cours,Annulé,3/31/2020,Bob
171,bank account details,Moyen,attaque en cours,En attente,6/6/2021,Eve
172,financial records,élevé,vulnérabilité identifiée,Terminé,11/20/2021,Charlie
173,personal messages,Moyen,vulnérabilité identifiée,En attente,7/18/2021,Charlie
174,personal messages,Faible,attaque en cours,Annulé,3/8/2020,David
175,private photos,élevé,intrusion détectée,En cours,2/9/2021,Eve
176,personal emails,Faible,tentative d'accès non autorisée,Annulé,7/2/2021,David
177,passwords,Faible,intrusion détectée,Terminé,6/12/2020,Alice
178,passwords,Faible,intrusion détectée,En attente,10/13/2019,Eve
179,medical history,élevé,intrusion détectée,Terminé,12/2/2021,Alice
180,confidential documents,Moyen,attaque en cours,En cours,2/2/2020,Bob
181,passwords,Faible,intrusion détectée,Terminé,9/22/2021,David
182,bank account details,Moyen,intrusion détectée,En cours,2/19/2019,Alice
183,bank account details,Moyen,vulnérabilité identifiée,En cours,9/27/2019,Charlie
184,social security numbers,Moyen,intrusion détectée,Terminé,3/26/2021,Eve
185,bank account details,Faible,vulnérabilité identifiée,En cours,11/2/2020,David
186,personal messages,Moyen,vulnérabilité identifiée,Annulé,12/15/2021,Alice
187,confidential documents,Moyen,attaque en cours,En cours,11/13/2021,Charlie
188,passwords,Très élevé,vulnérabilité identifiée,En cours,1/30/2019,Eve
189,medical history,Très élevé,intrusion détectée,Annulé,7/21/2020,Bob
190,credit card information,Très élevé,intrusion détectée,En cours,1/25/2019,David
191,financial records,élevé,tentative d'accès non autorisée,En cours,5/4/2020,Charlie
192,bank account details,Moyen,tentative d'accès non autorisée,Annulé,11/25/2019,Charlie
193,confidential documents,élevé,attaque en cours,Annulé,3/18/2020,Eve
194,financial records,Moyen,intrusion détectée,Annulé,5/7/2021,Bob
195,financial records,élevé,attaque en cours,Annulé,4/25/2020,Bob
196,confidential documents,Moyen,vulnérabilité identifiée,En attente,11/12/2021,Alice
197,credit card information,Très élevé,vulnérabilité identifiée,Terminé,10/8/2021,Eve
198,personal emails,Moyen,vulnérabilité identifiée,En cours,9/3/2020,Charlie
199,social security numbers,élevé,attaque en cours,Annulé,7/19/2019,Eve
200,personal messages,élevé,tentative d'accès non autorisée,En cours,9/21/2020,Alice
201,personal messages,Moyen,attaque en cours,Annulé,12/24/2019,Charlie
202,financial records,Faible,vulnérabilité identifiée,En attente,12/10/2021,David
203,confidential documents,Faible,vulnérabilité identifiée,En attente,10/16/2021,David
204,financial records,Moyen,tentative d'accès non autorisée,En attente,4/13/2021,David
205,private photos,Faible,vulnérabilité identifiée,Terminé,2/12/2020,Charlie
206,personal messages,Très élevé,attaque en cours,Annulé,3/7/2021,Alice
207,private photos,Moyen,intrusion détectée,En cours,8/13/2021,Bob
208,personal messages,Faible,attaque en cours,En cours,9/18/2021,Charlie
209,credit card information,Très élevé,intrusion détectée,En cours,4/3/2019,Alice
210,financial records,Moyen,attaque en cours,En cours,3/8/2019,David
211,financial records,élevé,intrusion détectée,En attente,11/5/2020,Eve
212,medical history,élevé,intrusion détectée,Annulé,12/14/2021,Bob
213,passwords,Faible,tentative d'accès non autorisée,En attente,2/25/2020,David
214,personal emails,élevé,intrusion détectée,Terminé,12/26/2021,Eve
215,private photos,Faible,vulnérabilité identifiée,En attente,5/20/2021,Charlie
216,financial records,Moyen,intrusion détectée,Terminé,11/10/2020,Alice
217,social security numbers,Moyen,intrusion détectée,Terminé,12/24/2020,Charlie
218,private photos,Faible,vulnérabilité identifiée,En attente,9/25/2019,Eve
219,personal messages,Faible,vulnérabilité identifiée,En cours,1/20/2020,Bob
220,credit card information,Très élevé,intrusion détectée,Annulé,9/2/2021,David
221,personal messages,Moyen,attaque en cours,Terminé,6/10/2020,David
222,confidential documents,Moyen,vulnérabilité identifiée,Terminé,2/25/2020,Charlie
223,private photos,Moyen,attaque en cours,Terminé,8/18/2020,Eve
224,personal messages,élevé,intrusion détectée,En cours,9/11/2019,David
225,private photos,élevé,tentative d'accès non autorisée,Annulé,8/4/2021,David
226,medical history,Très élevé,attaque en cours,Terminé,12/11/2020,Bob
227,social security numbers,Très élevé,vulnérabilité identifiée,En cours,6/3/2019,Bob
228,personal messages,Faible,vulnérabilité identifiée,Annulé,11/8/2021,Charlie
229,confidential documents,élevé,attaque en cours,En cours,3/29/2021,Eve
230,personal emails,Faible,tentative d'accès non autorisée,Terminé,4/16/2021,Eve
231,personal messages,Moyen,attaque en cours,En cours,4/12/2019,David
232,credit card information,Moyen,vulnérabilité identifiée,Terminé,9/27/2019,David
233,confidential documents,Très élevé,intrusion détectée,En cours,11/7/2020,Eve
234,confidential documents,élevé,attaque en cours,Terminé,11/21/2021,Bob
235,passwords,Très élevé,tentative d'accès non autorisée,En attente,1/27/2020,Bob
236,passwords,Moyen,intrusion détectée,Annulé,5/27/2019,Bob
237,financial records,Faible,intrusion détectée,En cours,6/14/2021,Alice
238,passwords,Faible,tentative d'accès non autorisée,En attente,5/26/2019,Alice
239,medical history,Moyen,attaque en cours,Terminé,5/6/2021,Charlie
240,financial records,Très élevé,attaque en cours,En cours,2/21/2019,Eve
241,medical history,élevé,attaque en cours,Terminé,5/15/2021,Bob
242,credit card information,Très élevé,tentative d'accès non autorisée,Annulé,8/15/2019,Alice
243,medical history,élevé,intrusion détectée,En cours,6/21/2021,Eve
244,personal messages,Très élevé,attaque en cours,Annulé,2/8/2021,Eve
245,personal messages,élevé,intrusion détectée,En cours,8/19/2021,Bob
246,bank account details,Moyen,attaque en cours,Annulé,7/14/2019,Charlie
247,private photos,Très élevé,vulnérabilité identifiée,En attente,10/6/2021,Eve
248,financial records,élevé,attaque en cours,En cours,6/16/2019,David
249,financial records,Très élevé,tentative d'accès non autorisée,En attente,9/27/2020,Alice
250,financial records,élevé,intrusion détectée,Annulé,4/13/2019,David
251,confidential documents,Faible,intrusion détectée,Annulé,1/18/2020,Alice
252,private photos,Moyen,intrusion détectée,Terminé,4/13/2020,Bob
253,bank account details,Très élevé,tentative d'accès non autorisée,Annulé,12/10/2020,David
254,confidential documents,Faible,attaque en cours,Annulé,1/15/2019,Eve
255,bank account details,Moyen,attaque en cours,En cours,6/15/2021,Alice
256,credit card information,Faible,intrusion détectée,Terminé,1/26/2020,David
257,financial records,Faible,attaque en cours,En attente,9/30/2021,David
258,personal messages,Faible,vulnérabilité identifiée,En attente,10/14/2021,Alice
259,personal emails,Très élevé,intrusion détectée,Annulé,3/26/2021,Alice
260,medical history,Moyen,tentative d'accès non autorisée,Annulé,8/6/2019,Eve
261,passwords,Faible,intrusion détectée,En cours,4/28/2021,Charlie
262,credit card information,Moyen,vulnérabilité identifiée,Terminé,4/19/2020,David
263,financial records,Très élevé,vulnérabilité identifiée,En attente,12/13/2019,Eve
264,private photos,Moyen,intrusion détectée,En cours,12/2/2020,David
265,personal messages,Faible,vulnérabilité identifiée,Annulé,4/7/2020,David
266,personal emails,Moyen,attaque en cours,En attente,11/21/2021,Bob
267,passwords,élevé,intrusion détectée,En cours,2/19/2021,Charlie
268,financial records,Moyen,intrusion détectée,En cours,11/18/2020,Eve
269,credit card information,élevé,attaque en cours,En attente,8/13/2021,Alice
270,bank account details,Moyen,vulnérabilité identifiée,En cours,5/26/2021,David
271,social security numbers,Faible,attaque en cours,En cours,3/23/2020,Alice
272,medical history,Faible,intrusion détectée,En cours,7/12/2021,Bob
273,bank account details,élevé,vulnérabilité identifiée,Terminé,6/14/2020,Alice
274,passwords,Faible,intrusion détectée,En cours,12/19/2019,Charlie
275,financial records,Très élevé,attaque en cours,En cours,11/21/2020,Alice
276,social security numbers,élevé,vulnérabilité identifiée,Terminé,6/4/2021,Charlie
277,personal emails,Faible,intrusion détectée,Annulé,9/1/2020,Charlie
278,medical history,Moyen,vulnérabilité identifiée,Annulé,11/12/2020,Charlie
279,private photos,Moyen,tentative d'accès non autorisée,En cours,9/15/2020,Charlie
280,personal emails,Moyen,attaque en cours,En attente,8/10/2021,Charlie
281,passwords,Très élevé,vulnérabilité identifiée,En attente,11/18/2021,Charlie
282,personal emails,Très élevé,vulnérabilité identifiée,En cours,2/28/2020,Bob
283,bank account details,Très élevé,vulnérabilité identifiée,En cours,4/12/2019,David
284,financial records,élevé,vulnérabilité identifiée,Terminé,8/4/2019,Alice
285,personal messages,Moyen,tentative d'accès non autorisée,Annulé,3/1/2019,Eve
286,personal messages,Faible,intrusion détectée,En cours,5/23/2020,Bob
287,credit card information,Moyen,intrusion détectée,Terminé,4/19/2021,Bob
288,personal emails,Moyen,tentative d'accès non autorisée,En attente,12/3/2020,Charlie
289,passwords,Faible,attaque en cours,Annulé,8/11/2021,Alice
290,passwords,Moyen,tentative d'accès non autorisée,Annulé,8/9/2020,Charlie
291,social security numbers,Très élevé,attaque en cours,En attente,10/15/2020,Charlie
292,passwords,Moyen,attaque en cours,Annulé,3/23/2020,Eve
293,confidential documents,Faible,attaque en cours,Annulé,8/6/2019,Charlie
294,bank account details,Très élevé,intrusion détectée,En cours,12/15/2021,Alice
295,private photos,Moyen,attaque en cours,Terminé,12/20/2021,Bob
296,social security numbers,Moyen,attaque en cours,En cours,6/28/2019,Eve
297,social security numbers,élevé,tentative d'accès non autorisée,Terminé,1/6/2020,David
298,personal emails,élevé,attaque en cours,En cours,2/4/2021,Alice
299,personal emails,Moyen,attaque en cours,Terminé,12/19/2021,Eve
300,bank account details,Moyen,tentative d'accès non autorisée,En attente,12/4/2019,Eve
301,financial records,Faible,vulnérabilité identifiée,Terminé,1/21/2019,Charlie
302,passwords,Moyen,attaque en cours,Annulé,3/7/2021,David
303,credit card information,Faible,vulnérabilité identifiée,Annulé,1/16/2021,Bob
304,medical history,Faible,intrusion détectée,En attente,10/16/2021,Bob
305,credit card information,élevé,tentative d'accès non autorisée,En cours,10/16/2019,Bob
306,passwords,Très élevé,intrusion détectée,En cours,11/30/2020,David
307,credit card information,Moyen,attaque en cours,En cours,8/25/2021,Eve
308,personal messages,Moyen,vulnérabilité identifiée,Terminé,10/8/2020,Eve
309,personal messages,Faible,attaque en cours,En cours,9/14/2020,Alice
310,confidential documents,Très élevé,vulnérabilité identifiée,En cours,6/11/2019,Charlie
311,passwords,Très élevé,vulnérabilité identifiée,Annulé,8/22/2020,Eve
312,bank account details,élevé,attaque en cours,Annulé,3/25/2021,Bob
313,passwords,Moyen,tentative d'accès non autorisée,En attente,9/13/2019,Alice
314,financial records,élevé,intrusion détectée,Terminé,12/16/2019,Charlie
315,personal emails,élevé,intrusion détectée,En attente,2/15/2019,Eve
316,personal messages,Moyen,attaque en cours,Terminé,10/11/2019,Charlie
317,social security numbers,Très élevé,intrusion détectée,Annulé,7/12/2019,David
318,social security numbers,Faible,intrusion détectée,En attente,9/20/2019,David
319,social security numbers,élevé,attaque en cours,En attente,9/23/2021,Alice
320,credit card information,Très élevé,tentative d'accès non autorisée,Terminé,3/18/2019,Charlie
321,personal emails,Moyen,attaque en cours,Annulé,8/11/2019,Alice
322,credit card information,Faible,attaque en cours,Terminé,6/11/2021,Charlie
323,confidential documents,élevé,tentative d'accès non autorisée,En attente,9/10/2019,Eve
324,private photos,Moyen,tentative d'accès non autorisée,En attente,7/20/2019,David
325,medical history,Moyen,tentative d'accès non autorisée,Terminé,11/27/2019,Bob
326,financial records,Moyen,tentative d'accès non autorisée,Terminé,11/5/2021,David
327,personal emails,Moyen,vulnérabilité identifiée,En attente,2/10/2021,Bob
328,personal messages,Faible,attaque en cours,En cours,11/6/2020,Bob
329,credit card information,Faible,tentative d'accès non autorisée,Annulé,7/19/2020,Eve
330,credit card information,Très élevé,vulnérabilité identifiée,Annulé,11/1/2020,Alice
331,confidential documents,Faible,attaque en cours,Annulé,6/29/2021,Alice
332,confidential documents,élevé,vulnérabilité identifiée,En attente,9/7/2019,David
333,credit card information,élevé,tentative d'accès non autorisée,Terminé,7/16/2021,David
334,medical history,élevé,vulnérabilité identifiée,Terminé,6/24/2020,Bob
335,medical history,élevé,intrusion détectée,Terminé,3/2/2021,David
336,personal emails,élevé,vulnérabilité identifiée,En cours,1/15/2021,David
337,private photos,Moyen,intrusion détectée,En attente,10/3/2020,David
338,bank account details,élevé,intrusion détectée,Annulé,12/26/2019,Alice
