Client_ID,Type_Données,Niveau_Protection,Evénement_Sécurité,Statut_Protection,Date_Mise_à _Jour,Responsable_Sécurité
339,credit card information,Faible,intrusion détectée,En cours,3/19/2020,Eve
340,bank account details,élevé,attaque en cours,En cours,10/14/2019,David
341,medical history,Très élevé,tentative d'accès non autorisée,Terminé,10/26/2021,David
342,confidential documents,Faible,intrusion détectée,Annulé,1/14/2020,David
343,passwords,Faible,vulnérabilité identifiée,Terminé,11/28/2020,Charlie
344,personal messages,Faible,vulnérabilité identifiée,Terminé,12/19/2019,Charlie
345,personal messages,Très élevé,tentative d'accès non autorisée,Terminé,1/11/2021,Eve
346,credit card information,élevé,intrusion détectée,En attente,1/4/2019,Eve
347,medical history,élevé,attaque en cours,Annulé,2/11/2020,Charlie
348,private photos,élevé,intrusion détectée,Terminé,8/19/2021,Bob
349,confidential documents,élevé,vulnérabilité identifiée,En attente,1/16/2020,Bob
350,personal messages,Très élevé,vulnérabilité identifiée,En cours,7/10/2020,Charlie
351,medical history,élevé,intrusion détectée,En attente,11/16/2020,Bob
352,financial records,élevé,tentative d'accès non autorisée,En attente,7/11/2019,Charlie
353,financial records,élevé,intrusion détectée,En cours,4/14/2020,Charlie
354,confidential documents,Faible,attaque en cours,En attente,5/20/2019,Charlie
355,financial records,Très élevé,vulnérabilité identifiée,Terminé,12/11/2020,Bob
356,credit card information,Moyen,tentative d'accès non autorisée,En attente,8/9/2019,David
357,social security numbers,Très élevé,intrusion détectée,En cours,2/12/2019,Bob
358,medical history,Moyen,tentative d'accès non autorisée,Terminé,1/11/2021,Eve
359,passwords,Moyen,attaque en cours,Terminé,8/20/2021,David
360,medical history,Faible,attaque en cours,En cours,10/17/2021,Charlie
361,confidential documents,Très élevé,intrusion détectée,En cours,3/2/2021,Eve
362,confidential documents,élevé,tentative d'accès non autorisée,En attente,11/16/2020,Bob
363,private photos,Moyen,vulnérabilité identifiée,Terminé,1/21/2021,Eve
364,personal messages,Faible,attaque en cours,En cours,11/23/2020,Eve
365,private photos,Moyen,vulnérabilité identifiée,Terminé,8/1/2020,Eve
366,personal messages,Faible,attaque en cours,En attente,1/9/2019,Charlie
367,personal emails,élevé,vulnérabilité identifiée,En cours,8/28/2021,David
368,passwords,Moyen,vulnérabilité identifiée,Terminé,3/31/2020,Eve
369,bank account details,Moyen,tentative d'accès non autorisée,En cours,8/2/2019,Bob
370,social security numbers,Très élevé,attaque en cours,Terminé,6/10/2021,Charlie
371,private photos,élevé,tentative d'accès non autorisée,En cours,9/30/2021,Bob
372,financial records,Moyen,vulnérabilité identifiée,En cours,11/23/2019,Eve
373,bank account details,Faible,tentative d'accès non autorisée,En cours,2/2/2021,Eve
374,passwords,Très élevé,tentative d'accès non autorisée,En cours,10/13/2020,Bob
375,confidential documents,élevé,intrusion détectée,Annulé,3/7/2019,David
376,financial records,Moyen,intrusion détectée,Annulé,7/26/2020,Eve
377,credit card information,Faible,tentative d'accès non autorisée,En attente,4/8/2019,Eve
378,confidential documents,Très élevé,tentative d'accès non autorisée,En cours,3/14/2020,David
379,personal messages,élevé,vulnérabilité identifiée,Terminé,8/2/2021,Charlie
380,private photos,Faible,vulnérabilité identifiée,Annulé,3/19/2020,Eve
381,confidential documents,élevé,tentative d'accès non autorisée,Annulé,12/7/2019,David
382,private photos,Très élevé,attaque en cours,En attente,6/24/2019,David
383,personal messages,Moyen,intrusion détectée,En cours,2/18/2020,Bob
384,private photos,élevé,intrusion détectée,Terminé,6/14/2019,Charlie
385,personal messages,élevé,attaque en cours,Terminé,1/23/2021,David
386,medical history,Très élevé,tentative d'accès non autorisée,En cours,5/10/2020,Alice
387,financial records,Moyen,attaque en cours,En attente,11/28/2020,David
388,personal emails,Faible,vulnérabilité identifiée,En cours,9/18/2021,Eve
389,personal emails,élevé,vulnérabilité identifiée,En attente,8/26/2019,Bob
390,medical history,Faible,vulnérabilité identifiée,En cours,4/4/2019,Charlie
391,confidential documents,Moyen,intrusion détectée,Annulé,6/14/2020,Alice
392,financial records,élevé,intrusion détectée,Terminé,5/22/2021,Bob
393,medical history,Faible,tentative d'accès non autorisée,Terminé,5/14/2021,Alice
394,credit card information,élevé,intrusion détectée,En attente,5/5/2019,Eve
395,financial records,Très élevé,intrusion détectée,En cours,2/3/2020,Bob
396,bank account details,élevé,attaque en cours,En cours,9/4/2020,Eve
397,credit card information,Très élevé,vulnérabilité identifiée,Annulé,4/22/2020,Charlie
398,private photos,Moyen,intrusion détectée,En cours,3/23/2021,David
399,credit card information,Très élevé,tentative d'accès non autorisée,Terminé,3/30/2019,Alice
400,credit card information,Moyen,vulnérabilité identifiée,Annulé,4/23/2019,Eve
401,private photos,Faible,intrusion détectée,En attente,12/10/2019,Alice
402,personal messages,Très élevé,attaque en cours,En attente,10/29/2021,Eve
403,bank account details,Moyen,attaque en cours,Annulé,1/4/2020,Alice
404,private photos,Faible,attaque en cours,En cours,7/24/2019,Eve
405,credit card information,Faible,vulnérabilité identifiée,Terminé,8/19/2021,Eve
406,financial records,Très élevé,tentative d'accès non autorisée,En attente,11/6/2021,Bob
407,bank account details,Moyen,tentative d'accès non autorisée,Annulé,5/18/2020,Eve
408,credit card information,élevé,tentative d'accès non autorisée,Annulé,6/2/2021,Eve
409,personal messages,Faible,vulnérabilité identifiée,Terminé,5/14/2019,Bob
410,private photos,Faible,vulnérabilité identifiée,Annulé,5/1/2021,Bob
411,private photos,Faible,vulnérabilité identifiée,En cours,8/23/2020,Alice
412,private photos,Faible,intrusion détectée,En cours,6/17/2021,Eve
413,passwords,élevé,attaque en cours,Annulé,12/20/2020,Bob
414,passwords,élevé,attaque en cours,Terminé,1/13/2020,Charlie
415,medical history,Faible,intrusion détectée,Annulé,3/2/2021,Bob
416,medical history,élevé,attaque en cours,Annulé,9/10/2021,Eve
417,private photos,élevé,tentative d'accès non autorisée,En cours,1/6/2020,Eve
418,private photos,Faible,intrusion détectée,Annulé,11/17/2021,Bob
419,social security numbers,élevé,tentative d'accès non autorisée,En cours,12/2/2021,Eve
420,private photos,Faible,attaque en cours,En attente,1/12/2021,Charlie
421,bank account details,élevé,attaque en cours,En attente,3/28/2021,David
422,financial records,Très élevé,intrusion détectée,En attente,7/7/2020,David
423,confidential documents,Faible,tentative d'accès non autorisée,Terminé,7/15/2021,David
424,passwords,Faible,intrusion détectée,En cours,8/1/2020,Bob
425,bank account details,Moyen,intrusion détectée,En cours,9/11/2021,David
426,confidential documents,Faible,intrusion détectée,Annulé,1/6/2021,David
427,personal emails,Très élevé,vulnérabilité identifiée,Annulé,10/6/2020,David
428,confidential documents,Moyen,tentative d'accès non autorisée,Terminé,7/30/2019,Eve
429,financial records,élevé,vulnérabilité identifiée,En attente,6/20/2020,Eve
430,personal emails,élevé,intrusion détectée,En attente,7/30/2020,Bob
431,credit card information,Moyen,intrusion détectée,Terminé,11/18/2020,Alice
432,credit card information,Faible,tentative d'accès non autorisée,En cours,8/19/2020,David
433,bank account details,Faible,attaque en cours,Annulé,2/26/2021,Eve
434,confidential documents,élevé,vulnérabilité identifiée,En cours,10/17/2021,David
435,passwords,Faible,vulnérabilité identifiée,En attente,10/12/2019,Eve
436,confidential documents,élevé,attaque en cours,Annulé,2/8/2020,David
437,confidential documents,élevé,attaque en cours,Annulé,10/28/2020,Charlie
438,bank account details,Faible,intrusion détectée,Annulé,6/3/2020,Alice
439,private photos,Très élevé,attaque en cours,Terminé,2/12/2020,Bob
440,personal emails,Faible,attaque en cours,Annulé,3/14/2020,Charlie
441,confidential documents,élevé,intrusion détectée,Annulé,7/28/2019,Bob
442,personal emails,Très élevé,attaque en cours,En attente,2/9/2021,Bob
443,social security numbers,Moyen,tentative d'accès non autorisée,En attente,5/29/2021,Charlie
444,confidential documents,élevé,attaque en cours,Annulé,1/27/2021,Alice
445,bank account details,Très élevé,intrusion détectée,Annulé,8/14/2020,David
446,financial records,Très élevé,tentative d'accès non autorisée,Annulé,9/23/2019,David
447,credit card information,Faible,tentative d'accès non autorisée,En cours,10/1/2021,Bob
448,credit card information,Faible,vulnérabilité identifiée,Terminé,8/24/2021,Charlie
449,credit card information,Très élevé,tentative d'accès non autorisée,En cours,12/5/2020,Alice
450,confidential documents,élevé,intrusion détectée,Annulé,8/30/2019,David
451,personal emails,Faible,intrusion détectée,Annulé,2/28/2019,Alice
452,personal emails,Moyen,intrusion détectée,Terminé,4/2/2020,David
453,personal messages,Moyen,tentative d'accès non autorisée,Terminé,6/8/2021,David
454,personal messages,Très élevé,attaque en cours,Annulé,2/5/2021,Charlie
455,private photos,Moyen,vulnérabilité identifiée,Terminé,6/8/2021,Bob
456,financial records,Faible,tentative d'accès non autorisée,Annulé,12/3/2019,Charlie
457,social security numbers,Moyen,attaque en cours,En attente,6/25/2020,Eve
458,private photos,Moyen,tentative d'accès non autorisée,Terminé,11/23/2020,Eve
459,personal messages,Moyen,vulnérabilité identifiée,En cours,11/27/2020,Alice
460,bank account details,Faible,attaque en cours,Annulé,4/24/2020,Bob
461,personal messages,élevé,intrusion détectée,Annulé,8/3/2020,Bob
462,bank account details,Très élevé,intrusion détectée,En attente,10/22/2019,Charlie
463,social security numbers,Faible,intrusion détectée,En attente,11/10/2021,Bob
464,credit card information,Très élevé,attaque en cours,En cours,11/28/2020,David
465,personal emails,élevé,tentative d'accès non autorisée,Annulé,9/2/2020,David
466,credit card information,Moyen,vulnérabilité identifiée,En cours,10/6/2020,Eve
467,confidential documents,élevé,vulnérabilité identifiée,Annulé,9/12/2020,David
468,social security numbers,Moyen,tentative d'accès non autorisée,Terminé,4/8/2020,Eve
469,medical history,Très élevé,vulnérabilité identifiée,En cours,12/6/2021,Alice
470,credit card information,Faible,intrusion détectée,En cours,11/24/2020,Bob
471,confidential documents,Très élevé,vulnérabilité identifiée,Terminé,9/7/2021,Alice
472,passwords,Très élevé,vulnérabilité identifiée,Terminé,6/20/2019,David
473,credit card information,Faible,intrusion détectée,En attente,4/26/2021,David
474,personal messages,Moyen,vulnérabilité identifiée,Terminé,8/29/2021,Charlie
475,financial records,Moyen,intrusion détectée,Annulé,12/18/2020,Eve
476,financial records,élevé,vulnérabilité identifiée,En cours,1/12/2019,Eve
477,bank account details,Très élevé,intrusion détectée,En attente,7/14/2019,Alice
478,social security numbers,Très élevé,tentative d'accès non autorisée,Terminé,10/25/2021,David
479,social security numbers,Très élevé,tentative d'accès non autorisée,Annulé,10/20/2021,Charlie
480,medical history,Très élevé,tentative d'accès non autorisée,En attente,6/9/2020,Alice
481,bank account details,Faible,intrusion détectée,Annulé,10/6/2020,David
482,medical history,élevé,intrusion détectée,En cours,8/10/2019,Eve
483,credit card information,élevé,vulnérabilité identifiée,Annulé,9/5/2021,Eve
484,social security numbers,élevé,attaque en cours,En cours,3/16/2020,Bob
485,financial records,Moyen,attaque en cours,En attente,5/25/2021,Eve
486,confidential documents,Moyen,attaque en cours,En cours,10/22/2019,Alice
487,social security numbers,élevé,tentative d'accès non autorisée,Annulé,10/7/2019,Bob
488,social security numbers,Moyen,vulnérabilité identifiée,En attente,8/13/2019,Charlie
489,credit card information,élevé,intrusion détectée,Annulé,2/13/2020,Charlie
490,private photos,Très élevé,intrusion détectée,Annulé,3/29/2020,Charlie
491,medical history,Moyen,tentative d'accès non autorisée,Terminé,12/30/2020,Eve
492,passwords,Faible,intrusion détectée,Terminé,7/28/2021,Charlie
493,personal emails,Très élevé,vulnérabilité identifiée,Terminé,10/28/2021,Charlie
494,personal emails,Faible,intrusion détectée,En cours,1/18/2020,Eve
495,credit card information,Faible,vulnérabilité identifiée,En attente,4/12/2019,Charlie
496,personal emails,Très élevé,intrusion détectée,Annulé,1/9/2021,Bob
497,confidential documents,Faible,attaque en cours,Annulé,3/31/2021,David
498,financial records,Moyen,intrusion détectée,En attente,3/23/2020,Bob
499,passwords,Très élevé,tentative d'accès non autorisée,En attente,6/3/2021,Alice
500,bank account details,Très élevé,attaque en cours,En cours,9/26/2021,David
501,credit card information,Moyen,attaque en cours,En cours,2/1/2019,Charlie
502,personal messages,Faible,tentative d'accès non autorisée,En cours,1/6/2020,Bob
503,passwords,Très élevé,attaque en cours,En attente,10/18/2021,Alice
504,private photos,Faible,intrusion détectée,Annulé,6/3/2019,Bob
505,social security numbers,élevé,intrusion détectée,Annulé,8/1/2019,Eve
506,confidential documents,Faible,vulnérabilité identifiée,En attente,12/9/2020,Charlie
507,confidential documents,Faible,vulnérabilité identifiée,Annulé,5/2/2020,Alice
508,personal messages,Faible,tentative d'accès non autorisée,En attente,3/13/2019,Bob
509,social security numbers,Faible,vulnérabilité identifiée,Terminé,2/23/2019,Alice
510,bank account details,élevé,attaque en cours,En cours,5/21/2019,David
511,bank account details,Faible,tentative d'accès non autorisée,En attente,10/4/2019,Eve
512,credit card information,Très élevé,intrusion détectée,En cours,2/13/2020,David
513,credit card information,Faible,tentative d'accès non autorisée,Terminé,10/22/2019,Eve
514,private photos,Faible,vulnérabilité identifiée,Terminé,5/25/2021,Eve
515,personal messages,Moyen,tentative d'accès non autorisée,En attente,11/14/2021,Charlie
516,bank account details,Faible,tentative d'accès non autorisée,Annulé,1/2/2020,Eve
517,passwords,Faible,vulnérabilité identifiée,En attente,1/26/2020,Eve
518,passwords,Très élevé,intrusion détectée,En cours,11/3/2020,David
519,private photos,Moyen,intrusion détectée,Annulé,6/28/2019,David
520,confidential documents,Moyen,intrusion détectée,Terminé,4/30/2020,Eve
521,bank account details,Faible,vulnérabilité identifiée,Terminé,9/11/2020,David
522,confidential documents,Très élevé,attaque en cours,Annulé,9/23/2020,David
523,personal messages,Faible,vulnérabilité identifiée,Terminé,1/27/2021,Alice
524,medical history,élevé,tentative d'accès non autorisée,En cours,8/20/2019,David
525,financial records,Faible,intrusion détectée,Terminé,10/17/2020,David
526,medical history,Très élevé,attaque en cours,En cours,12/19/2020,Eve
527,bank account details,Moyen,tentative d'accès non autorisée,Annulé,12/16/2019,Bob
528,credit card information,Faible,tentative d'accès non autorisée,Annulé,12/1/2021,Eve
529,private photos,Très élevé,tentative d'accès non autorisée,En cours,4/21/2021,Eve
530,financial records,Faible,tentative d'accès non autorisée,En cours,1/15/2021,Charlie
531,personal emails,Moyen,tentative d'accès non autorisée,Terminé,11/22/2019,Alice
532,credit card information,Moyen,attaque en cours,En attente,12/11/2021,Alice
533,credit card information,Très élevé,vulnérabilité identifiée,En cours,11/30/2020,Eve
534,confidential documents,Faible,intrusion détectée,En cours,10/10/2019,Charlie
535,social security numbers,élevé,vulnérabilité identifiée,Terminé,12/17/2019,Alice
536,credit card information,élevé,attaque en cours,Annulé,2/14/2019,Alice
537,credit card information,Moyen,attaque en cours,En attente,5/5/2021,David
538,social security numbers,Faible,intrusion détectée,En attente,12/28/2020,Alice
539,personal emails,Très élevé,attaque en cours,Annulé,3/16/2020,Bob
540,confidential documents,Moyen,vulnérabilité identifiée,Annulé,1/23/2021,Charlie
541,credit card information,Très élevé,vulnérabilité identifiée,Terminé,1/6/2019,David
542,passwords,Très élevé,attaque en cours,En cours,12/18/2021,Charlie
543,bank account details,Moyen,attaque en cours,Annulé,7/18/2020,Alice
544,personal messages,Faible,vulnérabilité identifiée,Terminé,9/7/2021,David
545,financial records,Moyen,attaque en cours,Terminé,4/11/2020,Alice
546,personal emails,élevé,attaque en cours,En attente,10/29/2019,Charlie
547,social security numbers,Faible,tentative d'accès non autorisée,En attente,3/27/2020,Alice
548,personal emails,Moyen,attaque en cours,Annulé,4/16/2021,Alice
549,financial records,Faible,attaque en cours,En attente,2/23/2019,David
550,confidential documents,élevé,intrusion détectée,Terminé,12/30/2020,Eve
551,passwords,Moyen,vulnérabilité identifiée,Terminé,3/8/2020,Eve
552,medical history,élevé,intrusion détectée,Annulé,7/3/2020,David
553,personal emails,Moyen,tentative d'accès non autorisée,En cours,3/9/2021,Bob
554,confidential documents,élevé,tentative d'accès non autorisée,Annulé,5/15/2020,Alice
555,credit card information,Moyen,tentative d'accès non autorisée,Annulé,10/2/2021,David
556,personal emails,Très élevé,vulnérabilité identifiée,Annulé,3/16/2019,Bob
557,medical history,Faible,tentative d'accès non autorisée,Terminé,4/28/2019,Eve
558,private photos,Très élevé,tentative d'accès non autorisée,En cours,6/26/2020,Alice
559,personal messages,élevé,vulnérabilité identifiée,En attente,2/9/2020,David
560,passwords,Moyen,attaque en cours,En attente,6/24/2019,Bob
561,social security numbers,Faible,attaque en cours,Terminé,7/31/2021,Charlie
562,private photos,élevé,vulnérabilité identifiée,En attente,11/19/2019,Charlie
563,financial records,Moyen,intrusion détectée,Annulé,8/30/2020,David
564,private photos,Très élevé,attaque en cours,En attente,9/28/2020,Alice
565,social security numbers,Très élevé,intrusion détectée,Annulé,8/29/2019,Alice
566,confidential documents,Faible,intrusion détectée,En attente,9/13/2021,Alice
567,personal messages,Faible,attaque en cours,Annulé,10/12/2020,Charlie
568,personal emails,Faible,attaque en cours,Annulé,11/11/2021,Bob
569,credit card information,Faible,attaque en cours,En cours,3/12/2020,Bob
570,financial records,élevé,tentative d'accès non autorisée,Terminé,7/13/2020,Charlie
571,confidential documents,élevé,attaque en cours,En cours,5/7/2020,David
572,financial records,Faible,tentative d'accès non autorisée,Terminé,9/30/2021,David
573,medical history,Moyen,vulnérabilité identifiée,En attente,8/12/2019,Alice
574,medical history,élevé,tentative d'accès non autorisée,Terminé,12/9/2019,Alice
575,personal emails,Très élevé,intrusion détectée,Terminé,2/5/2019,Bob
576,social security numbers,Moyen,attaque en cours,En attente,2/10/2019,Charlie
577,personal emails,Faible,tentative d'accès non autorisée,Annulé,6/26/2021,David
578,financial records,Faible,tentative d'accès non autorisée,En attente,5/13/2020,David
579,personal emails,Très élevé,vulnérabilité identifiée,Annulé,2/24/2020,David
580,medical history,élevé,attaque en cours,Terminé,3/17/2021,Eve
581,personal messages,Moyen,attaque en cours,Terminé,2/7/2019,Charlie
582,bank account details,Moyen,vulnérabilité identifiée,En attente,5/6/2021,Charlie
583,personal messages,Très élevé,attaque en cours,Terminé,6/4/2021,Alice
584,personal messages,élevé,tentative d'accès non autorisée,Annulé,7/10/2020,Charlie
585,medical history,élevé,vulnérabilité identifiée,Terminé,6/11/2021,Bob
586,financial records,Moyen,intrusion détectée,En cours,7/24/2021,Bob
587,financial records,Moyen,tentative d'accès non autorisée,En cours,2/10/2019,Charlie
588,personal messages,Moyen,tentative d'accès non autorisée,En attente,2/27/2021,Eve
589,passwords,élevé,vulnérabilité identifiée,Annulé,2/19/2020,David
590,credit card information,élevé,tentative d'accès non autorisée,Annulé,1/4/2019,Eve
591,bank account details,Très élevé,vulnérabilité identifiée,En attente,10/28/2021,Bob
592,confidential documents,élevé,vulnérabilité identifiée,Annulé,7/15/2019,David
593,passwords,élevé,intrusion détectée,En cours,12/2/2019,David
594,private photos,Moyen,vulnérabilité identifiée,En attente,6/6/2019,David
595,personal messages,Faible,vulnérabilité identifiée,Terminé,11/8/2020,Bob
596,credit card information,Très élevé,attaque en cours,En attente,2/23/2020,Bob
597,personal messages,Très élevé,vulnérabilité identifiée,En attente,5/16/2021,Bob
598,bank account details,Moyen,tentative d'accès non autorisée,Annulé,2/2/2019,Alice
599,confidential documents,Faible,tentative d'accès non autorisée,Annulé,4/28/2021,David
600,bank account details,Très élevé,tentative d'accès non autorisée,En attente,8/26/2021,Bob
601,bank account details,élevé,vulnérabilité identifiée,Annulé,10/28/2020,Eve
602,confidential documents,Moyen,tentative d'accès non autorisée,En attente,8/10/2020,Alice
603,medical history,Très élevé,tentative d'accès non autorisée,En cours,7/14/2021,Alice
604,financial records,Moyen,vulnérabilité identifiée,Terminé,10/20/2019,Charlie
605,confidential documents,Moyen,attaque en cours,Annulé,1/6/2020,Alice
606,medical history,élevé,attaque en cours,Annulé,6/12/2020,Eve
607,personal emails,Très élevé,vulnérabilité identifiée,Terminé,4/30/2021,Bob
608,personal emails,Très élevé,tentative d'accès non autorisée,Terminé,10/8/2019,David
609,social security numbers,élevé,intrusion détectée,En cours,10/18/2021,David
610,credit card information,élevé,attaque en cours,Terminé,8/24/2019,Eve
611,passwords,Moyen,tentative d'accès non autorisée,En cours,6/27/2019,Bob
612,personal messages,Faible,tentative d'accès non autorisée,Annulé,5/22/2020,David
613,credit card information,Très élevé,attaque en cours,Terminé,9/12/2020,Bob
614,financial records,Faible,intrusion détectée,Annulé,10/28/2021,David
615,medical history,Très élevé,tentative d'accès non autorisée,Annulé,10/31/2020,David
616,medical history,Très élevé,vulnérabilité identifiée,Annulé,5/29/2020,David
617,confidential documents,Faible,attaque en cours,Terminé,10/5/2019,Bob
618,personal messages,Faible,intrusion détectée,En attente,5/8/2020,Eve
619,medical history,Moyen,attaque en cours,En attente,9/11/2020,Alice
620,bank account details,Moyen,attaque en cours,Annulé,5/1/2019,Charlie
621,social security numbers,Faible,attaque en cours,Terminé,1/2/2020,Eve
622,passwords,élevé,intrusion détectée,En attente,11/13/2019,Bob
623,credit card information,Très élevé,attaque en cours,En attente,5/24/2019,Charlie
624,social security numbers,élevé,intrusion détectée,En cours,9/2/2021,Charlie
625,social security numbers,élevé,attaque en cours,Terminé,8/1/2020,Bob
626,financial records,Très élevé,intrusion détectée,Terminé,12/21/2021,Eve
627,financial records,Faible,intrusion détectée,Annulé,3/27/2021,David
628,passwords,Faible,vulnérabilité identifiée,Annulé,5/27/2021,Alice
629,financial records,Faible,vulnérabilité identifiée,Annulé,4/28/2020,Charlie
630,confidential documents,Moyen,attaque en cours,Terminé,9/1/2020,Alice
631,social security numbers,Très élevé,intrusion détectée,Terminé,12/18/2021,Bob
632,bank account details,élevé,intrusion détectée,En cours,2/23/2019,Charlie
633,financial records,Moyen,intrusion détectée,En attente,8/10/2020,Eve
634,private photos,Moyen,vulnérabilité identifiée,En cours,3/22/2021,Charlie
635,confidential documents,élevé,vulnérabilité identifiée,En cours,3/29/2020,Bob
636,personal emails,élevé,tentative d'accès non autorisée,En cours,2/21/2020,Bob
637,personal emails,Moyen,attaque en cours,En attente,10/18/2021,Charlie
638,bank account details,Moyen,tentative d'accès non autorisée,Annulé,2/23/2019,Bob
639,private photos,Moyen,attaque en cours,En cours,5/22/2019,David
640,personal messages,élevé,tentative d'accès non autorisée,En attente,9/18/2021,David
641,private photos,Très élevé,tentative d'accès non autorisée,Annulé,1/24/2021,Bob
642,bank account details,Faible,vulnérabilité identifiée,Terminé,4/28/2021,Eve
643,personal messages,Faible,intrusion détectée,En attente,1/3/2020,David
644,personal messages,Très élevé,intrusion détectée,En cours,10/9/2021,Eve
645,credit card information,Faible,tentative d'accès non autorisée,Annulé,5/24/2021,Charlie
646,confidential documents,Moyen,tentative d'accès non autorisée,Annulé,4/15/2021,Eve
647,credit card information,Moyen,vulnérabilité identifiée,En cours,7/9/2019,David
648,passwords,élevé,intrusion détectée,En cours,4/29/2020,Eve
649,medical history,élevé,tentative d'accès non autorisée,Terminé,6/5/2021,David
650,personal emails,Moyen,vulnérabilité identifiée,En attente,12/27/2019,Eve
651,personal messages,Moyen,vulnérabilité identifiée,Terminé,11/30/2021,Alice
652,personal messages,Moyen,tentative d'accès non autorisée,Terminé,6/25/2020,Alice
653,personal emails,élevé,intrusion détectée,Terminé,9/12/2020,Eve
654,confidential documents,Très élevé,attaque en cours,En attente,1/9/2019,Charlie
655,passwords,Faible,attaque en cours,Annulé,6/14/2020,Charlie
656,credit card information,élevé,tentative d'accès non autorisée,En cours,8/4/2019,Charlie
657,private photos,élevé,tentative d'accès non autorisée,En attente,10/18/2021,Eve
658,personal emails,Faible,tentative d'accès non autorisée,Annulé,10/26/2019,Alice
659,passwords,Faible,intrusion détectée,En cours,11/27/2021,Eve
660,financial records,Faible,tentative d'accès non autorisée,Terminé,11/15/2021,Alice
661,bank account details,Moyen,vulnérabilité identifiée,En cours,4/16/2021,David
662,medical history,Moyen,intrusion détectée,Annulé,6/22/2019,David
663,credit card information,Très élevé,intrusion détectée,En attente,7/11/2020,Eve
664,confidential documents,élevé,intrusion détectée,Annulé,7/20/2019,Bob
665,credit card information,élevé,attaque en cours,En attente,7/29/2019,Alice
666,medical history,Faible,intrusion détectée,Terminé,12/23/2021,Bob
667,personal messages,Faible,attaque en cours,Terminé,5/15/2021,David
668,personal emails,Moyen,intrusion détectée,Terminé,12/2/2020,Bob
669,private photos,Faible,tentative d'accès non autorisée,En attente,11/3/2020,Charlie
